Australian Bureau of Statistics

"2021 Census - employment, income and education"
"SA2 (UR) and MTW06P Method of Travel to Work (6 travel modes)"
"Counting: Person Records"

Filters:
"Default Summation","Person Records"


"SA2 (UR)","MTW06P Method of Travel to Work (6 travel modes)",
"Aranda","Public Transport",94,
,"Vehicle",788,
,"Active Transport",88,
,"Other Mode",3,
,"Worked at home or did not go to work",328,
,"Not stated",0,
,"Not applicable",1302,
"Belconnen","Public Transport",925,
,"Vehicle",2867,
,"Active Transport",631,
,"Other Mode",35,
,"Worked at home or did not go to work",896,
,"Not stated",14,
,"Not applicable",3140,
"Bruce","Public Transport",560,
,"Vehicle",2848,
,"Active Transport",304,
,"Other Mode",18,
,"Worked at home or did not go to work",946,
,"Not stated",21,
,"Not applicable",2828,
"Charnwood","Public Transport",71,
,"Vehicle",1155,
,"Active Transport",19,
,"Other Mode",0,
,"Worked at home or did not go to work",267,
,"Not stated",7,
,"Not applicable",1541,
"Cook","Public Transport",111,
,"Vehicle",892,
,"Active Transport",140,
,"Other Mode",0,
,"Worked at home or did not go to work",385,
,"Not stated",0,
,"Not applicable",1431,
"Dunlop","Public Transport",114,
,"Vehicle",2968,
,"Active Transport",31,
,"Other Mode",5,
,"Worked at home or did not go to work",841,
,"Not stated",5,
,"Not applicable",3305,
"Evatt","Public Transport",136,
,"Vehicle",2081,
,"Active Transport",75,
,"Other Mode",4,
,"Worked at home or did not go to work",652,
,"Not stated",10,
,"Not applicable",2569,
"Florey","Public Transport",153,
,"Vehicle",1670,
,"Active Transport",79,
,"Other Mode",10,
,"Worked at home or did not go to work",488,
,"Not stated",14,
,"Not applicable",2373,
"Flynn (ACT)","Public Transport",54,
,"Vehicle",1382,
,"Active Transport",11,
,"Other Mode",4,
,"Worked at home or did not go to work",430,
,"Not stated",11,
,"Not applicable",1779,
"Fraser","Public Transport",26,
,"Vehicle",758,
,"Active Transport",7,
,"Other Mode",0,
,"Worked at home or did not go to work",247,
,"Not stated",5,
,"Not applicable",1076,
"Giralang","Public Transport",79,
,"Vehicle",1167,
,"Active Transport",46,
,"Other Mode",7,
,"Worked at home or did not go to work",375,
,"Not stated",0,
,"Not applicable",1699,
"Gooromon","Public Transport",0,
,"Vehicle",0,
,"Active Transport",0,
,"Other Mode",0,
,"Worked at home or did not go to work",0,
,"Not stated",0,
,"Not applicable",0,
"Hawker","Public Transport",83,
,"Vehicle",1042,
,"Active Transport",30,
,"Other Mode",0,
,"Worked at home or did not go to work",327,
,"Not stated",3,
,"Not applicable",1518,
"Higgins","Public Transport",78,
,"Vehicle",1182,
,"Active Transport",32,
,"Other Mode",3,
,"Worked at home or did not go to work",367,
,"Not stated",10,
,"Not applicable",1651,
"Holt","Public Transport",135,
,"Vehicle",2119,
,"Active Transport",28,
,"Other Mode",4,
,"Worked at home or did not go to work",583,
,"Not stated",10,
,"Not applicable",2747,
"Kaleen","Public Transport",230,
,"Vehicle",2582,
,"Active Transport",148,
,"Other Mode",14,
,"Worked at home or did not go to work",798,
,"Not stated",12,
,"Not applicable",3891,
"Latham","Public Transport",74,
,"Vehicle",1366,
,"Active Transport",30,
,"Other Mode",0,
,"Worked at home or did not go to work",420,
,"Not stated",3,
,"Not applicable",1868,
"Lawson","Public Transport",127,
,"Vehicle",1406,
,"Active Transport",42,
,"Other Mode",8,
,"Worked at home or did not go to work",297,
,"Not stated",3,
,"Not applicable",862,
"Macgregor (ACT)","Public Transport",152,
,"Vehicle",2842,
,"Active Transport",24,
,"Other Mode",14,
,"Worked at home or did not go to work",737,
,"Not stated",11,
,"Not applicable",3274,
"Macquarie","Public Transport",114,
,"Vehicle",1029,
,"Active Transport",87,
,"Other Mode",5,
,"Worked at home or did not go to work",318,
,"Not stated",5,
,"Not applicable",1547,
"McKellar","Public Transport",67,
,"Vehicle",997,
,"Active Transport",18,
,"Other Mode",5,
,"Worked at home or did not go to work",282,
,"Not stated",6,
,"Not applicable",1376,
"Melba","Public Transport",67,
,"Vehicle",1150,
,"Active Transport",28,
,"Other Mode",4,
,"Worked at home or did not go to work",401,
,"Not stated",3,
,"Not applicable",1735,
"Page","Public Transport",99,
,"Vehicle",959,
,"Active Transport",49,
,"Other Mode",0,
,"Worked at home or did not go to work",278,
,"Not stated",6,
,"Not applicable",1660,
"Scullin","Public Transport",92,
,"Vehicle",1057,
,"Active Transport",39,
,"Other Mode",11,
,"Worked at home or did not go to work",339,
,"Not stated",0,
,"Not applicable",1540,
"Spence","Public Transport",58,
,"Vehicle",923,
,"Active Transport",17,
,"Other Mode",6,
,"Worked at home or did not go to work",297,
,"Not stated",4,
,"Not applicable",1278,
"Weetangera","Public Transport",58,
,"Vehicle",945,
,"Active Transport",61,
,"Other Mode",7,
,"Worked at home or did not go to work",356,
,"Not stated",0,
,"Not applicable",1365,
"Molonglo Corridor","Public Transport",0,
,"Vehicle",4,
,"Active Transport",0,
,"Other Mode",0,
,"Worked at home or did not go to work",5,
,"Not stated",0,
,"Not applicable",8,
"Macnamara","Public Transport",0,
,"Vehicle",0,
,"Active Transport",0,
,"Other Mode",0,
,"Worked at home or did not go to work",0,
,"Not stated",0,
,"Not applicable",0,
"Strathnairn","Public Transport",14,
,"Vehicle",326,
,"Active Transport",3,
,"Other Mode",3,
,"Worked at home or did not go to work",86,
,"Not stated",0,
,"Not applicable",282,
"West Belconnen","Public Transport",0,
,"Vehicle",0,
,"Active Transport",8,
,"Other Mode",0,
,"Worked at home or did not go to work",5,
,"Not stated",0,
,"Not applicable",12,
"Hume","Public Transport",0,
,"Vehicle",3,
,"Active Transport",4,
,"Other Mode",0,
,"Worked at home or did not go to work",0,
,"Not stated",0,
,"Not applicable",387,
"Kowen","Public Transport",0,
,"Vehicle",4,
,"Active Transport",0,
,"Other Mode",0,
,"Worked at home or did not go to work",7,
,"Not stated",0,
,"Not applicable",10,
"Canberra East","Public Transport",8,
,"Vehicle",282,
,"Active Transport",19,
,"Other Mode",6,
,"Worked at home or did not go to work",60,
,"Not stated",0,
,"Not applicable",717,
"Canberra Airport","Public Transport",0,
,"Vehicle",49,
,"Active Transport",0,
,"Other Mode",0,
,"Worked at home or did not go to work",11,
,"Not stated",0,
,"Not applicable",63,
"Majura","Public Transport",0,
,"Vehicle",70,
,"Active Transport",39,
,"Other Mode",41,
,"Worked at home or did not go to work",32,
,"Not stated",0,
,"Not applicable",117,
"Amaroo","Public Transport",172,
,"Vehicle",2472,
,"Active Transport",61,
,"Other Mode",3,
,"Worked at home or did not go to work",685,
,"Not stated",7,
,"Not applicable",2725,
"Bonner","Public Transport",240,
,"Vehicle",2884,
,"Active Transport",21,
,"Other Mode",19,
,"Worked at home or did not go to work",747,
,"Not stated",14,
,"Not applicable",3412,
"Casey","Public Transport",160,
,"Vehicle",2840,
,"Active Transport",41,
,"Other Mode",16,
,"Worked at home or did not go to work",698,
,"Not stated",15,
,"Not applicable",2703,
"Crace","Public Transport",120,
,"Vehicle",1983,
,"Active Transport",46,
,"Other Mode",3,
,"Worked at home or did not go to work",545,
,"Not stated",11,
,"Not applicable",2092,
"Forde","Public Transport",115,
,"Vehicle",1817,
,"Active Transport",33,
,"Other Mode",5,
,"Worked at home or did not go to work",551,
,"Not stated",6,
,"Not applicable",1910,
"Franklin","Public Transport",695,
,"Vehicle",3001,
,"Active Transport",69,
,"Other Mode",18,
,"Worked at home or did not go to work",750,
,"Not stated",17,
,"Not applicable",2930,
"Gungahlin","Public Transport",681,
,"Vehicle",3343,
,"Active Transport",252,
,"Other Mode",21,
,"Worked at home or did not go to work",897,
,"Not stated",23,
,"Not applicable",3362,
"Hall","Public Transport",0,
,"Vehicle",91,
,"Active Transport",8,
,"Other Mode",0,
,"Worked at home or did not go to work",44,
,"Not stated",5,
,"Not applicable",152,
"Harrison","Public Transport",578,
,"Vehicle",3275,
,"Active Transport",70,
,"Other Mode",28,
,"Worked at home or did not go to work",915,
,"Not stated",16,
,"Not applicable",3366,
"Mitchell","Public Transport",0,
,"Vehicle",3,
,"Active Transport",0,
,"Other Mode",0,
,"Worked at home or did not go to work",0,
,"Not stated",0,
,"Not applicable",5,
"Ngunnawal","Public Transport",310,
