Australian Bureau of Statistics

"2021 Census - selected dwelling characteristics"
"SA2 (EN) and STRD Dwelling Structure"
"Counting: Dwelling Records"

Filters:
"Default Summation","Dwelling Records"


"SA2 (EN)","STRD Dwelling Structure",
"Aranda","Separate house",839,
,"Semi-detached, row or terrace house, townhouse etc. with one storey",23,
,"Semi-detached, row or terrace house, townhouse etc. with two or more storeys",84,
,"Flat or apartment in a one or two storey block",19,
,"Flat or apartment in a three storey block",0,
,"Flat or apartment in a four to eight storey block",0,
,"Flat or apartment in a nine or more storey block",0,
,"Flat or apartment attached to a house",8,
,"Caravan",0,
,"Cabin, houseboat",0,
,"Improvised home, tent, sleepers out",0,
,"House or flat attached to a shop, office, etc.",0,
,"Not stated",6,
,"Not applicable",0,
"Belconnen","Separate house",19,
,"Semi-detached, row or terrace house, townhouse etc. with one storey",476,
,"Semi-detached, row or terrace house, townhouse etc. with two or more storeys",685,
,"Flat or apartment in a one or two storey block",152,
,"Flat or apartment in a three storey block",525,
,"Flat or apartment in a four to eight storey block",1725,
,"Flat or apartment in a nine or more storey block",1149,
,"Flat or apartment attached to a house",0,
,"Caravan",0,
,"Cabin, houseboat",0,
,"Improvised home, tent, sleepers out",0,
,"House or flat attached to a shop, office, etc.",0,
,"Not stated",7,
,"Not applicable",6,
"Bruce","Separate house",591,
,"Semi-detached, row or terrace house, townhouse etc. with one storey",298,
,"Semi-detached, row or terrace house, townhouse etc. with two or more storeys",1054,
,"Flat or apartment in a one or two storey block",100,
,"Flat or apartment in a three storey block",241,
,"Flat or apartment in a four to eight storey block",679,
,"Flat or apartment in a nine or more storey block",0,
,"Flat or apartment attached to a house",0,
,"Caravan",0,
,"Cabin, houseboat",0,
,"Improvised home, tent, sleepers out",0,
,"House or flat attached to a shop, office, etc.",0,
,"Not stated",9,
,"Not applicable",17,
"Charnwood","Separate house",1110,
,"Semi-detached, row or terrace house, townhouse etc. with one storey",158,
,"Semi-detached, row or terrace house, townhouse etc. with two or more storeys",0,
,"Flat or apartment in a one or two storey block",3,
