Australian Bureau of Statistics

"2021 Census - selected dwelling characteristics"
"SA2 (EN)"
"Counting: Dwelling Records"

Filters:
"Default Summation","Dwelling Records"


"SA2 (EN)",
"Aranda",973,
"Belconnen",4739,
"Bruce",2983,
"Charnwood",1277,
"Cook",1345,
"Dunlop",2565,
"Evatt",2067,
"Florey",1969,
"Flynn (ACT)",1304,
"Fraser",784,
"Giralang",1288,
"Gooromon",0,
"Hawker",1274,
"Higgins",1325,
"Holt",2514,
"Kaleen",2892,
"Latham",1495,
"Lawson",1095,
"Macgregor (ACT)",2663,
"Macquarie",1451,
"McKellar",1028,
"Melba",1291,
"Page",1309,
"Scullin",1277,
"Spence",997,
"Weetangera",1006,
"Molonglo Corridor",6,
"Macnamara",0,
"Strathnairn",283,
"West Belconnen",5,
"Hume",10,
"Kowen",7,
"Canberra East",622,
"Canberra Airport",55,
"Majura",82,
"Amaroo",2150,
"Bonner",2242,
"Casey",2338,
"Crace",1783,
"Forde",1449,
"Franklin",2850,
"Gungahlin",3656,
"Hall",130,
"Harrison",2998,
"Mitchell",4,
"Ngunnawal",4341,
"Nicholls",2397,
"Palmerston",2183,
"Gungahlin - East",0,
"Gungahlin - West",0,
"Jacka",255,
"Kenny",15,
"Moncrieff",1716,
"Taylor",683,
"Throsby",754,
"Acton",12,
"Ainslie",2269,
"Braddon",4155,
"Civic",2554,
"Dickson",1638,
"Downer",1799,
"Hackett",1312,
"Lyneham",2886,
"O'Connor (ACT)",2507,
"Turner",2507,
"Watson",2940,
"Black Mountain",0,
"Campbell",2359,
"Duntroon",197,
"Parkes (ACT) - North",0,
"Reid",909,
"Russell",4,
"Deakin",1392,
"Forrest",1019,
"Griffith (ACT)",2727,
"Lake Burley Griffin",0,
"Narrabundah",2799,
"Parkes (ACT) - South",3,
"Red Hill (ACT)",1170,
"Yarralumla",1428,
"Barton",1187,
"Fyshwick",25,
"Kingston (ACT)",4207,
"Banks",1865,
"Bonython",1550,
"Calwell",2148,
"Chisholm",1981,
"Conder",1845,
"Fadden",1103,
"Gilmore",997,
"Gordon (ACT)",3036,
"Gowrie (ACT)",1159,
"Greenway",2420,
"Isabella Plains",1712,
"Kambah",6335,
"Macarthur",501,
"Monash",2288,
"Mount Taylor",0,
"Oxley (ACT)",649,
"Richardson",1184,
"Theodore",1415,
"Tuggeranong",17,
"Wanniassa",3127,
"Tuggeranong - West",0,
"Chapman",1084,
"Duffy",1329,
"Fisher",1332,
"Holder",1183,
"Rivett",1397,
"Stirling",833,
"Waramanga",1190,
"Weston",1608,
"Scrivener",3,
"Chifley",1194,
"Curtin",2201,
"Farrer",1495,
"Garran",1394,
"Hughes",1253,
"Isaacs",995,
"Lyons (ACT)",1528,
"Mawson",1546,
"O'Malley",364,
"Pearce",1164,
"Phillip",3025,
"Torrens",922,
"Arboretum",4,
"Coombs",1893,
"Denman Prospect",1079,
"Molonglo",0,
"Wright",1622,
"Molonglo - East",3,
"Whitlam",0,
"ACT - South West",199,
"Namadgi",29,
"Total",187156,


"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2021, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
