Australian Bureau of Statistics

"2021 Census - selected dwelling characteristics"
"SA3 (EN), STRD Dwelling Structure and RNTRD Rent (weekly) Ranges"
"Counting: Dwelling Records"

Filters:
"Default Summation","Dwelling Records"


"SA3 (EN)","STRD Dwelling Structure","RNTRD Rent (weekly) Ranges",
"Belconnen","Separate house","$1-$74",56,
,,"$75-$99",66,
,,"$100-$124",314,
,,"$125-$149",152,
,,"$150-$174",208,
,,"$175-$199",115,
,,"$200-$224",163,
,,"$225-$249",94,
,,"$250-$274",143,
,,"$275-$299",59,
,,"$300-$324",163,
,,"$325-$349",82,
,,"$350-$374",141,
,,"$375-$399",125,
,,"$400-$424",341,
,,"$425-$449",216,
,,"$450-$474",400,
,,"$475-$499",318,
,,"$500-$524",493,
,,"$525-$549",213,
,,"$550-$649",860,
,,"$650-$749",272,
,,"$750-$849",104,
,,"$850-$949",36,
,,"$950 and over",53,
,,"Not stated",272,
,,"Not applicable",23892,
,"Semi-detached, row or terrace house, townhouse etc. with one storey","$1-$74",17,
,,"$75-$99",17,
,,"$100-$124",154,
,,"$125-$149",44,
,,"$150-$174",58,
,,"$175-$199",30,
,,"$200-$224",40,
,,"$225-$249",17,
,,"$250-$274",20,
,,"$275-$299",7,
,,"$300-$324",35,
,,"$325-$349",12,
,,"$350-$374",63,
,,"$375-$399",68,
,,"$400-$424",170,
,,"$425-$449",125,
,,"$450-$474",209,
,,"$475-$499",82,
,,"$500-$524",86,
,,"$525-$549",27,
,,"$550-$649",97,
,,"$650-$749",15,
,,"$750-$849",8,
,,"$850-$949",0,
,,"$950 and over",3,
,,"Not stated",49,
,,"Not applicable",2985,
,"Semi-detached, row or terrace house, townhouse etc. with two or more storeys","$1-$74",15,
,,"$75-$99",26,
,,"$100-$124",58,
,,"$125-$149",19,
,,"$150-$174",26,
,,"$175-$199",26,
,,"$200-$224",29,
,,"$225-$249",14,
,,"$250-$274",37,
,,"$275-$299",22,
,,"$300-$324",29,
,,"$325-$349",28,
,,"$350-$374",53,
,,"$375-$399",50,
,,"$400-$424",99,
,,"$425-$449",45,
,,"$450-$474",109,
,,"$475-$499",78,
,,"$500-$524",128,
,,"$525-$549",82,
,,"$550-$649",271,
,,"$650-$749",116,
,,"$750-$849",19,
,,"$850-$949",4,
,,"$950 and over",9,
,,"Not stated",51,
,,"Not applicable",1792,
,"Flat or apartment in a one or two storey block","$1-$74",17,
,,"$75-$99",13,
,,"$100-$124",37,
,,"$125-$149",9,
,,"$150-$174",19,
,,"$175-$199",13,
,,"$200-$224",21,
,,"$225-$249",17,
,,"$250-$274",24,
,,"$275-$299",25,
,,"$300-$324",49,
,,"$325-$349",34,
,,"$350-$374",66,
,,"$375-$399",52,
,,"$400-$424",60,
,,"$425-$449",20,
,,"$450-$474",35,
,,"$475-$499",19,
,,"$500-$524",26,
,,"$525-$549",21,
,,"$550-$649",34,
,,"$650-$749",17,
,,"$750-$849",6,
,,"$850-$949",0,
,,"$950 and over",0,
,,"Not stated",22,
,,"Not applicable",533,
,"Flat or apartment in a three storey block","$1-$74",12,
,,"$75-$99",3,
,,"$100-$124",27,
,,"$125-$149",13,
,,"$150-$174",7,
,,"$175-$199",10,
,,"$200-$224",14,
,,"$225-$249",14,
,,"$250-$274",13,
,,"$275-$299",9,
,,"$300-$324",20,
,,"$325-$349",23,
,,"$350-$374",61,
,,"$375-$399",59,
,,"$400-$424",72,
,,"$425-$449",29,
,,"$450-$474",49,
,,"$475-$499",52,
,,"$500-$524",51,
,,"$525-$549",16,
,,"$550-$649",21,
,,"$650-$749",3,
,,"$750-$849",0,
,,"$850-$949",4,
,,"$950 and over",3,
,,"Not stated",10,
,,"Not applicable",439,
,"Flat or apartment in a four to eight storey block","$1-$74",6,
,,"$75-$99",0,
,,"$100-$124",16,
,,"$125-$149",3,
,,"$150-$174",11,
,,"$175-$199",5,
,,"$200-$224",24,
,,"$225-$249",16,
,,"$250-$274",9,
,,"$275-$299",18,
,,"$300-$324",32,
,,"$325-$349",28,
,,"$350-$374",151,
,,"$375-$399",219,
,,"$400-$424",302,
,,"$425-$449",136,
,,"$450-$474",140,
,,"$475-$499",87,
,,"$500-$524",100,
,,"$525-$549",40,
,,"$550-$649",117,
,,"$650-$749",13,
,,"$750-$849",11,
,,"$850-$949",3,
,,"$950 and over",4,
,,"Not stated",25,
,,"Not applicable",1149,
,"Flat or apartment in a nine or more storey block","$1-$74",0,
,,"$75-$99",0,
,,"$100-$124",0,
,,"$125-$149",0,
,,"$150-$174",0,
,,"$175-$199",0,
,,"$200-$224",3,
,,"$225-$249",4,
,,"$250-$274",13,
,,"$275-$299",0,
,,"$300-$324",6,
,,"$325-$349",5,
,,"$350-$374",27,
,,"$375-$399",88,
,,"$400-$424",119,
,,"$425-$449",54,
,,"$450-$474",75,
,,"$475-$499",54,
,,"$500-$524",78,
,,"$525-$549",23,
,,"$550-$649",68,
,,"$650-$749",18,
,,"$750-$849",6,
,,"$850-$949",0,
,,"$950 and over",9,
,,"Not stated",12,
,,"Not applicable",476,
,"Flat or apartment attached to a house","$1-$74",0,
,,"$75-$99",0,
,,"$100-$124",0,
,,"$125-$149",0,
,,"$150-$174",0,
,,"$175-$199",0,
,,"$200-$224",0,
,,"$225-$249",0,
,,"$250-$274",0,
,,"$275-$299",0,
,,"$300-$324",3,
,,"$325-$349",0,
,,"$350-$374",4,
,,"$375-$399",3,
,,"$400-$424",0,
,,"$425-$449",0,
,,"$450-$474",0,
,,"$475-$499",0,
,,"$500-$524",3,
,,"$525-$549",0,
,,"$550-$649",0,
,,"$650-$749",0,
,,"$750-$849",0,
,,"$850-$949",0,
,,"$950 and over",0,
,,"Not stated",0,
,,"Not applicable",39,
,"Caravan","$1-$74",0,
,,"$75-$99",0,
,,"$100-$124",0,
,,"$125-$149",0,
,,"$150-$174",0,
,,"$175-$199",0,
,,"$200-$224",0,
,,"$225-$249",0,
,,"$250-$274",0,
,,"$275-$299",0,
,,"$300-$324",0,
,,"$325-$349",0,
,,"$350-$374",0,
,,"$375-$399",0,
,,"$400-$424",0,
,,"$425-$449",0,
,,"$450-$474",0,
,,"$475-$499",0,
,,"$500-$524",0,
,,"$525-$549",0,
,,"$550-$649",0,
,,"$650-$749",0,
,,"$750-$849",0,
,,"$850-$949",0,
,,"$950 and over",0,
,,"Not stated",0,
,,"Not applicable",0,
,"Cabin, houseboat","$1-$74",0,
,,"$75-$99",0,
,,"$100-$124",0,
,,"$125-$149",0,
,,"$150-$174",0,
,,"$175-$199",0,
,,"$200-$224",0,
,,"$225-$249",0,
,,"$250-$274",0,
,,"$275-$299",0,
,,"$300-$324",0,
,,"$325-$349",0,
,,"$350-$374",0,
,,"$375-$399",0,
,,"$400-$424",0,
,,"$425-$449",0,
,,"$450-$474",0,
,,"$475-$499",0,
,,"$500-$524",0,
,,"$525-$549",0,
,,"$550-$649",0,
,,"$650-$749",0,
,,"$750-$849",0,
,,"$850-$949",0,
,,"$950 and over",0,
,,"Not stated",0,
,,"Not applicable",0,
,"Improvised home, tent, sleepers out","$1-$74",0,
,,"$75-$99",0,
,,"$100-$124",0,
,,"$125-$149",0,
,,"$150-$174",0,
,,"$175-$199",0,
,,"$200-$224",0,
,,"$225-$249",0,
,,"$250-$274",0,
,,"$275-$299",0,
,,"$300-$324",0,
,,"$325-$349",0,
,,"$350-$374",0,
,,"$375-$399",0,
,,"$400-$424",0,
,,"$425-$449",0,
,,"$450-$474",0,
,,"$475-$499",0,
,,"$500-$524",0,
,,"$525-$549",0,
,,"$550-$649",0,
,,"$650-$749",0,
,,"$750-$849",0,
,,"$850-$949",0,
,,"$950 and over",0,
,,"Not stated",0,
,,"Not applicable",3,
,"House or flat attached to a shop, office, etc.","$1-$74",0,
,,"$75-$99",0,
,,"$100-$124",0,
,,"$125-$149",0,
,,"$150-$174",0,
,,"$175-$199",0,
,,"$200-$224",0,
,,"$225-$249",0,
,,"$250-$274",0,
,,"$275-$299",0,
,,"$300-$324",0,
,,"$325-$349",0,
,,"$350-$374",0,
,,"$375-$399",0,
,,"$400-$424",0,
,,"$425-$449",0,
,,"$450-$474",0,
,,"$475-$499",0,
,,"$500-$524",0,
,,"$525-$549",0,
,,"$550-$649",0,
,,"$650-$749",0,
,,"$750-$849",0,
,,"$850-$949",0,
,,"$950 and over",0,
,,"Not stated",0,
,,"Not applicable",0,
,"Not stated","$1-$74",0,
,,"$75-$99",0,
,,"$100-$124",0,
,,"$125-$149",3,
,,"$150-$174",4,
,,"$175-$199",0,
,,"$200-$224",0,
,,"$225-$249",0,
,,"$250-$274",0,
,,"$275-$299",0,
,,"$300-$324",3,
,,"$325-$349",0,
,,"$350-$374",3,
,,"$375-$399",0,
,,"$400-$424",0,
,,"$425-$449",0,
,,"$450-$474",0,
,,"$475-$499",0,
,,"$500-$524",0,
,,"$525-$549",4,
,,"$550-$649",0,
,,"$650-$749",4,
,,"$750-$849",0,
,,"$850-$949",0,
,,"$950 and over",0,
,,"Not stated",3,
,,"Not applicable",15,
,"Not applicable","$1-$74",0,
,,"$75-$99",0,
,,"$100-$124",0,
,,"$125-$149",0,
,,"$150-$174",0,
,,"$175-$199",0,
,,"$200-$224",0,
,,"$225-$249",0,
,,"$250-$274",0,
,,"$275-$299",0,
,,"$300-$324",0,
,,"$325-$349",0,
,,"$350-$374",0,
,,"$375-$399",0,
,,"$400-$424",0,
,,"$425-$449",0,
,,"$450-$474",0,
,,"$475-$499",0,
,,"$500-$524",0,
,,"$525-$549",0,
,,"$550-$649",0,
,,"$650-$749",0,
,,"$750-$849",0,
,,"$850-$949",0,
,,"$950 and over",0,
,,"Not stated",0,
,,"Not applicable",28,
"Canberra East","Separate house","$1-$74",0,
,,"$75-$99",0,
,,"$100-$124",0,
,,"$125-$149",0,
,,"$150-$174",5,
,,"$175-$199",0,
,,"$200-$224",0,
,,"$225-$249",0,
,,"$250-$274",0,
,,"$275-$299",0,
,,"$300-$324",0,
,,"$325-$349",0,
,,"$350-$374",8,
,,"$375-$399",0,
,,"$400-$424",10,
,,"$425-$449",10,
,,"$450-$474",8,
,,"$475-$499",0,
,,"$500-$524",0,
,,"$525-$549",0,
,,"$550-$649",3,
,,"$650-$749",0,
,,"$750-$849",6,
,,"$850-$949",0,
,,"$950 and over",3,
,,"Not stated",7,
,,"Not applicable",230,
