"land_use_zone_code_id","land_use_policy_desc","area","area_proportion"
"CF","COMMUNITY FACILITIES",13750364.1340332,0.0778350410302358
"CZ1","CORE ZONE",2340347.35058594,0.013247724226226
"CZ2","BUSINESS ZONE",2580640.00708008,0.014607920115962
"CZ3","SERVICES ZONE",1812962.61645508,0.0102624205630164
"CZ4","LOCAL CENTRE",819565.712402344,0.00463921756762234
"CZ5","MIXED USE",2525551.71411133,0.0142960884072369
"CZ6","LEISURE AND ACCOMMODATION",2685469.76171875,0.0152013173652243
"RZ1","SUBURBAN",119796420.314209,0.678117262898757
"RZ2","SUBURBAN CORE",16864273.2717285,0.0954615739085219
"RZ3","URBAN RESIDENTIAL",8102491.49243164,0.0458648041326868
"RZ4","MEDIUM DENSITY RESIDENTIAL",3424908.28881836,0.0193869685621758
"RZ5","HIGH DENSITY RESIDENTIAL",1957336.62207031,0.0110796612223345
